LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
13.779667,1435370.667,29398,3,AZ,1,100,0.018
13.819000,1435410.000,29398,3,AZ,1,100,0.076
13.858000,1435449.000,29415,3,AZ,1,100,0.102
13.897000,1435488.000,29415,3,AZ,1,100,0.074
13.936000,1435527.000,29415,3,AZ,1,100,0.084
13.974500,1435565.500,29431,2,AZ,1,100,0.090
14.013000,1435604.000,29431,2,AZ,1,100,0.100
14.051667,1435642.667,29447,3,AZ,1,100,0.120
14.090333,1435681.333,29447,3,AZ,1,100,0.158
14.129000,1435720.000,29447,3,AZ,1,100,0.184
14.163333,1435754.333,29466,3,AZ,1,100,0.232
14.197667,1435788.667,29466,3,AZ,1,100,0.255
14.232000,1435823.000,29466,3,AZ,1,100,0.232
14.271000,1435862.000,29483,2,AZ,1,100,0.191
14.310000,1435901.000,29483,2,AZ,1,100,0.168
14.349000,1435940.000,29499,3,AZ,1,100,0.162
14.388000,1435979.000,29499,3,AZ,1,100,0.190
14.427000,1436018.000,29499,3,AZ,1,100,0.200
14.466000,1436057.000,29517,3,AZ,1,100,0.198
14.505000,1436096.000,29517,3,AZ,1,100,0.192
14.544000,1436135.000,29517,3,AZ,1,100,0.178
14.583000,1436174.000,29532,2,AZ,1,100,0.165
14.622000,1436213.000,29532,2,AZ,1,100,0.222
14.661000,1436252.000,29549,3,AZ,1,100,0.178
14.700000,1436291.000,29549,3,AZ,1,100,0.129
14.739000,1436330.000,29549,3,AZ,1,100,0.066
14.777000,1436368.000,29568,2,AZ,1,100,0.004
14.815000,1436406.000,29568,2,AZ,1,100,-0.041
14.854000,1436445.000,29585,3,AZ,1,100,-0.070
14.893000,1436484.000,29585,3,AZ,1,100,-0.046
14.932000,1436523.000,29585,3,AZ,1,100,-0.066
14.971000,1436562.000,29600,3,AZ,1,100,-0.059
15.010000,1436601.000,29600,3,AZ,1,100,-0.025
15.049000,1436640.000,29600,3,AZ,1,100,-0.081
15.088000,1436679.000,29618,2,AZ,1,100,-0.071
15.127000,1436718.000,29618,2,AZ,1,100,-0.151
15.166000,1436757.000,29636,3,AZ,1,100,-0.152
15.205000,1436796.000,29636,3,AZ,1,100,-0.215
15.244000,1436835.000,29636,3,AZ,1,100,-0.269
15.283000,1436874.000,29653,2,AZ,1,100,-0.264
15.322000,1436913.000,29653,2,AZ,1,100,-0.307
15.360333,1436951.333,29670,3,AZ,1,100,-0.287
15.398667,1436989.667,29670,3,AZ,1,100,-0.204
15.437000,1437028.000,29670,3,AZ,1,100,-0.168
15.476000,1437067.000,29686,3,AZ,1,100,-0.141
15.515000,1437106.000,29686,3,AZ,1,100,-0.154
15.554000,1437145.000,29686,3,AZ,1,100,-0.181
15.592500,1437183.500,29704,2,AZ,1,100,-0.156
15.631000,1437222.000,29704,2,AZ,1,100,-0.144
15.669667,1437260.667,29721,3,AZ,1,100,-0.123
15.708333,1437299.333,29721,3,AZ,1,100,-0.123
15.747000,1437338.000,29721,3,AZ,1,100,-0.116
15.781667,1437372.667,29738,3,AZ,1,100,-0.112
15.816333,1437407.333,29738,3,AZ,1,100,-0.060
15.851000,1437442.000,29738,3,AZ,1,100,-0.050
15.890000,1437481.000,29754,2,AZ,1,100,-0.044
15.929000,1437520.000,29754,2,AZ,1,100,-0.021
15.968000,1437559.000,29770,3,AZ,1,100,-0.014
16.007000,1437598.000,29770,3,AZ,1,100,-0.029
16.046000,1437637.000,29770,3,AZ,1,100,-0.133
16.085000,1437676.000,29789,4,AZ,1,100,-0.034
16.124000,1437715.000,29789,4,AZ,1,100,-0.032
16.163000,1437754.000,29789,4,AZ,1,100,0.013
16.202000,1437793.000,29789,4,AZ,1,100,-0.041
16.241000,1437832.000,29807,2,AZ,1,100,0.009
16.280000,1437871.000,29807,2,AZ,1,100,-0.041
16.319667,1437910.667,29824,3,AZ,1,100,0.013
16.359333,1437950.333,29824,3,AZ,1,100,0.001
16.399000,1437990.000,29824,3,AZ,1,100,-0.044
16.438000,1438029.000,29841,3,AZ,1,100,0.003
16.477000,1438068.000,29841,3,AZ,1,100,-0.048
16.516000,1438107.000,29841,3,AZ,1,100,-0.089
16.555000,1438146.000,29858,2,AZ,1,100,-0.077
16.594000,1438185.000,29858,2,AZ,1,100,-0.115
16.633000,1438224.000,29873,3,AZ,1,100,-0.120
16.672000,1438263.000,29873,3,AZ,1,100,-0.122
16.711000,1438302.000,29873,3,AZ,1,100,-0.141
16.750000,1438341.000,29891,2,AZ,1,100,-0.161
16.789000,1438380.000,29891,2,AZ,1,100,-0.127
16.827667,1438418.667,29909,3,AZ,1,100,-0.120
16.866333,1438457.333,29909,3,AZ,1,100,-0.188
16.905000,1438496.000,29909,3,AZ,1,100,-0.230
16.944667,1438535.667,29926,3,AZ,1,100,-0.172
16.984333,1438575.333,29926,3,AZ,1,100,-0.162
17.024000,1438615.000,29926,3,AZ,1,100,-0.118
17.062500,1438653.500,29942,2,AZ,1,100,-0.081
17.101000,1438692.000,29942,2,AZ,1,100,-0.127
17.140000,1438731.000,29961,3,AZ,1,100,-0.091
17.179000,1438770.000,29961,3,AZ,1,100,-0.055
17.218000,1438809.000,29961,3,AZ,1,100,-0.015
17.257000,1438848.000,29977,2,AZ,1,100,0.048
17.296000,1438887.000,29977,2,AZ,1,100,0.089
17.335000,1438926.000,29995,3,AZ,1,100,0.157
17.374000,1438965.000,29995,3,AZ,1,100,0.160
17.413000,1439004.000,29995,3,AZ,1,100,0.180
17.452000,1439043.000,30011,2,AZ,1,100,0.177
17.491000,1439082.000,30011,2,AZ,1,100,0.170
17.525333,1439116.333,30027,3,AZ,1,100,0.117
17.559667,1439150.667,30027,3,AZ,1,100,0.151
17.594000,1439185.000,30027,3,AZ,1,100,0.162
17.632667,1439223.667,30044,3,AZ,1,100,0.199
17.671333,1439262.333,30044,3,AZ,1,100,0.250
17.710000,1439301.000,30044,3,AZ,1,100,0.266
17.749000,1439340.000,30061,3,AZ,1,100,0.275
17.788000,1439379.000,30061,3,AZ,1,100,0.306
17.827000,1439418.000,30061,3,AZ,1,100,0.339
17.866500,1439457.500,30079,2,AZ,1,100,0.371
17.906000,1439497.000,30079,2,AZ,1,100,0.390
