RD,TS_received,TS_sent,AK,RoundTrip,
2352401,2352477,2022-12-30_16-24-33-424841,2352480,76,
2357543,2357570,2022-12-30_16-24-38-646057,2357573,27,
2362650,2362678,2022-12-30_16-24-43-865449,2362681,28,
2367752,2367772,2022-12-30_16-24-49-090904,2367775,20,
2372884,2372904,2022-12-30_16-24-54-345913,2372906,20,
2378025,2378079,2022-12-30_16-24-59-641512,2378084,54,
2383166,2383185,2022-12-30_16-25-04-879131,2383188,19,
2388286,2388364,2022-12-30_16-25-10-187202,2388367,78,
2393400,2393420,2022-12-30_16-25-15-355511,2393423,20,
2398515,2398572,2022-12-30_16-25-20-631226,2398575,57,
2403626,2403664,2022-12-30_16-25-25-852820,2403667,38,
2408747,2408770,2022-12-30_16-25-31-077477,2408773,23,
